^:<name=02 footnote=bk>	note
1	The Chinese word here is 信 (xìn) and is commonly translated as “faith.” However, we have chosen to use the word “confidence” to avoid confusion with the concept of “blind faith,” and to bring out the deeper meaning of the word, which includes confidence, trust and so on, towards the Triple Gem and the teachings of the Buddha.
2	Śrāvakayāna: Technically, it refers to the practices of the śrāvakas or direct disciples who heard the Buddha’s teaching in person. However, in our translations this term is used to refer to the Hīnayāna, which in general refers to the Buddhist practices that are centered on self-salvation. Historically, the term is applied to the early Indian groups typified by Theravādins 上座部 and Sarvâstivādins 有部, who held to a monastically centered approach to Buddhist practice. The term Hīnayāna is considered derogatory, and so we have chosen to use Śrāvakayāna instead.
3	Saṃsāra: A term used to refer to the cyclic existence of sentient beings. In Sanskrit it means “course, passage, passing through a succession of states, circuit of mundane existence, transmigration, metempsychosis, the world, secular life, worldly illusion.” See Monier-Williams, Sanskrit-English Dictionary, 1899, page 1119.
4	Buddha-dharma: From the Chinese 佛法 (fófǎ), the use of this term by Venerable Yinshun can have several meanings, including Buddhism and the Buddha’s teachings. In our translations we use the term “Buddha-dharma” to translate 佛法 when it is referring to the Buddha’s teachings.
5	Ultimate benefit refers to all the benefits that come with the attainment of liberation from cyclic existence, which are lasting and not temporary.
6	Dharma: Has several meanings. When used with a capital “D” it refers to the ultimate truth and the Buddha’s teachings, which help sentient beings to realize that ultimate truth. When spelt with a lowercase “d”, dharma can refer to phenomena, things, method or practice.
7	Nāgārjuna: A bodhisattva in South India who lived during the late 2nd century CE. He is regarded as the founder of the Madhyamaka school and is highly regarded by many Buddhist schools.
8	Inter-faith dialogue has improved greatly since the 20th century. The situation explained here by Venerable Yinshun is based on his own experience when the various Christian faiths began to assertively spread their religion in China.
9	The example of calling one’s parents and whistling are Chinese cultural traditions.
10	「信是什麼？「心淨為性」，即內心的純潔，不預存一些主觀與私見，惟是一片純潔無疵的心情。」（《佛法概論》，p. 185）“What is confidence? A [temporary state of] undefiled mind is its essence.” This is the purity of the mind where not a single thought of subjectivity or selfishness arises. There is simply a state of mind, which is pure without any flaws.
11	Sun Yat-sen, 1954, The Principle of Nationalism: Lecture One: “What is a principle? It is an idea, a faith, and a power. When men begin to study into the heart of a problem, an idea generally develops first; as the idea becomes clearer, a faith arises; and out of the faith a power is born. So a principle must begin with an idea, the idea must produce a faith, and the faith in turn must give birth to power, before the principle can be perfectly established.”
12	Prajñā: A Sanskrit term that means “wisdom;” in particular, it relates to wisdom concerning the ultimate truth.
13	Level of faith with understanding: The stage at which a practitioner has both faith and understanding in the Buddha’s teachings—adhimukti, or correct faith, complete understanding.
14	Level of understanding with practice: A stage after faith with understanding at which correct faith and understanding of the Buddha’s teachings are put into practice and guide all actions— adhimukti-caryā.
